id,response_date,age,sex_ja,sex_en,prefecture_ja,prefecture_en,occupation_ja,occupation_en,industry_ja,industry_en,household_income_ja,household_income_en,marital_status_ja,marital_status_en,children_ja,children_en,q1_spending_view_ja,q1_spending_view_en,q2_shopping_time_ja,q2_shopping_time_en,q3_consumption_note_ja,q3_consumption_note_en
93,2026-05-25,64,女性,Female,静岡県,Shizuoka,無職,Not employed,勤めていない（専業主婦・学生などを含む）,"Not employed (homemaker / student, etc.)",わからない・回答したくない,Prefer not to say,未婚,Single,子ども有り,With children,ネガティブな感情,Negative,昼,Daytime,スーパー等に買い出し。通院のついでもある。,"Shopping at supermarkets, etc. Also on the way to medical appointments."
94,2026-05-25,64,女性,Female,熊本県,Kumamoto,専業主婦（主夫）,Homemaker,勤めていない（専業主婦・学生などを含む）,"Not employed (homemaker / student, etc.)",400～600万円未満,¥4–6M,既婚,Married,子ども有り,With children,ポジティブな感情,Positive,朝,Morning,朝から店舗に出向き、色々なものを見ながら決めるのが良い,It's good to go to stores in the morning and decide while looking at various things
95,2026-05-25,63,女性,Female,兵庫県,Hyogo,パート・アルバイト,Part-time worker,勤めていない（専業主婦・学生などを含む）,"Not employed (homemaker / student, etc.)",わからない・回答したくない,Prefer not to say,既婚,Married,子ども有り,With children,ネガティブな感情,Negative,昼,Daytime,医療費,Medical expenses
96,2026-05-25,63,女性,Female,宮城県,Miyagi,専業主婦（主夫）,Homemaker,勤めていない（専業主婦・学生などを含む）,"Not employed (homemaker / student, etc.)",800～1000万円未満,¥8–10M,既婚,Married,子ども有り,With children,特に何もない,Neutral,朝,Morning,スケジュールどおり実行します。,I execute according to schedule.
97,2026-05-25,61,女性,Female,東京都,Tokyo,会社員（事務系）,Company employee (clerical),金融業,Finance,わからない・回答したくない,Prefer not to say,未婚,Single,子ども無し,Without children,特に何もない,Neutral,夜,Night,限られた金額の中で、計画性を持って消費する,Consume with planning within a limited budget
98,2026-05-25,27,男性,Male,埼玉県,Saitama,会社員（事務系）,Company employee (clerical),電気・ガス・熱供給・水道業,Utilities (electricity / gas / water),1000～1200万円未満,¥10–12M,未婚,Single,子ども無し,Without children,特に何もない,Neutral,昼,Daytime,なし,None in particular
99,2026-05-25,26,男性,Male,埼玉県,Saitama,パート・アルバイト,Part-time worker,勤めていない（専業主婦・学生などを含む）,"Not employed (homemaker / student, etc.)",800～1000万円未満,¥8–10M,未婚,Single,子ども無し,Without children,ポジティブな感情,Positive,昼,Daytime,推し活,Supporting my favorite idols/creators (oshi-katsu)
100,2026-05-25,23,男性,Male,東京都,Tokyo,学生（大学生）,Student (university),勤めていない（専業主婦・学生などを含む）,"Not employed (homemaker / student, etc.)",わからない・回答したくない,Prefer not to say,未婚,Single,子ども無し,Without children,ポジティブな感情,Positive,昼,Daytime,日が出ている時にしかできないことをしている,Doing things that can only be done while the sun is out
101,2026-05-25,56,男性,Male,神奈川県,Kanagawa,会社員（その他）,Company employee (other),建設業,Construction,800～1000万円未満,¥8–10M,未婚,Single,子ども無し,Without children,特に何もない,Neutral,昼,Daytime,特に無い,None in particular
102,2026-05-25,48,男性,Male,埼玉県,Saitama,会社員（事務系）,Company employee (clerical),サービス業（その他）,Services (other),600～800万円未満,¥6–8M,既婚,Married,子ども有り,With children,特に何もない,Neutral,昼,Daytime,いいものを安く,Good things cheaply
103,2026-05-25,52,男性,Male,島根県,Shimane,公務員,Public servant,協同組合・教育関連・公務員,Co-op / education / public sector,800～1000万円未満,¥8–10M,既婚,Married,子ども有り,With children,ネガティブな感情,Negative,昼,Daytime,無駄遣いはしないようにしている,Try not to waste money
104,2026-05-25,48,男性,Male,兵庫県,Hyogo,会社員（事務系）,Company employee (clerical),卸売・小売業（自動車・輸送機器）,Wholesale / retail (automotive / transport),400～600万円未満,¥4–6M,既婚,Married,子ども有り,With children,ネガティブな感情,Negative,夜,Night,飲食,Food and drink
105,2026-05-25,50,男性,Male,島根県,Shimane,無職,Not employed,勤めていない（専業主婦・学生などを含む）,"Not employed (homemaker / student, etc.)",1000～1200万円未満,¥10–12M,未婚,Single,子ども無し,Without children,特に何もない,Neutral,昼,Daytime,なし,None in particular
106,2026-05-25,58,男性,Male,京都府,Kyoto,会社員（技術系）,Company employee (technical),製造業（AV・家電・電気機械器具）,Manufacturing (AV / appliances / electrical),800～1000万円未満,¥8–10M,既婚,Married,子ども有り,With children,ネガティブな感情,Negative,夜,Night,酒類の購入,Purchase of alcoholic beverages
107,2026-05-25,55,女性,Female,青森県,Aomori,パート・アルバイト,Part-time worker,勤めていない（専業主婦・学生などを含む）,"Not employed (homemaker / student, etc.)",400～600万円未満,¥4–6M,既婚,Married,子ども有り,With children,ポジティブな感情,Positive,昼,Daytime,食料調達,Food procurement
108,2026-05-25,62,男性,Male,静岡県,Shizuoka,会社員（技術系）,Company employee (technical),建設業,Construction,600～800万円未満,¥6–8M,既婚,Married,子ども有り,With children,特に何もない,Neutral,昼,Daytime,特にはない,None in particular
109,2026-05-25,65,男性,Male,埼玉県,Saitama,会社員（その他）,Company employee (other),協同組合・教育関連・公務員,Co-op / education / public sector,400～600万円未満,¥4–6M,既婚,Married,子ども無し,Without children,特に何もない,Neutral,昼,Daytime,特に決まった方向性は無い,No particular fixed direction
110,2026-05-25,64,女性,Female,石川県,Ishikawa,パート・アルバイト,Part-time worker,勤めていない（専業主婦・学生などを含む）,"Not employed (homemaker / student, etc.)",1000～1200万円未満,¥10–12M,既婚,Married,子ども有り,With children,ネガティブな感情,Negative,夜,Night,特になし,None in particular
111,2026-05-25,51,女性,Female,兵庫県,Hyogo,会社員（事務系）,Company employee (clerical),協同組合・教育関連・公務員,Co-op / education / public sector,600～800万円未満,¥6–8M,既婚,Married,子ども有り,With children,特に何もない,Neutral,"昼, 夜","Daytime, Night",主に生活必需品の購買,Mainly purchasing daily necessities
112,2026-05-25,60,男性,Male,東京都,Tokyo,会社員（その他）,Company employee (other),飲食店,Food service (restaurants),400～600万円未満,¥4–6M,未婚,Single,子ども無し,Without children,ポジティブな感情,Positive,夜,Night,外食,Eating out
113,2026-05-25,53,男性,Male,東京都,Tokyo,会社員（事務系）,Company employee (clerical),製造業（AV・家電・電気機械器具）,Manufacturing (AV / appliances / electrical),1200～1500万円未満,¥12–15M,既婚,Married,子ども有り,With children,ポジティブな感情,Positive,"昼, 夜","Daytime, Night",新しいもの,New things
114,2026-05-25,44,男性,Male,三重県,Mie,会社員（技術系）,Company employee (technical),製造業（その他）,Manufacturing (other),600～800万円未満,¥6–8M,既婚,Married,子ども有り,With children,特に何もない,Neutral,夜,Night,食べものの購入,Purchasing food
115,2026-05-25,64,女性,Female,大阪府,Osaka,専業主婦（主夫）,Homemaker,勤めていない（専業主婦・学生などを含む）,"Not employed (homemaker / student, etc.)",600～800万円未満,¥6–8M,既婚,Married,子ども無し,Without children,ポジティブな感情,Positive,昼,Daytime,ネット購入,Online purchases
